num_lectures,price,days_since_published,content_duration
25,45,2711,1.0
76,20,2371,5.0
26,95,2920,5.0
27,40,1942,1.0
79,200,2487,18.0
47,35,2461,3.5
16,200,2372,1.5
91,50,2587,7.0
43,100,2585,3.0
12,35,1979,0.7333333333333333
43,80,2139,5.5
77,20,2693,2.5
15,20,2558,3.0
11,20,2988,2.0
13,20,2656,1.5
5,20,2771,1.0
5,20,2122,1.0
43,100,2805,5.5
18,0,2571,5.0
36,50,2389,7.0
19,55,1984,2.0
18,55,2792,1.5
6,40,2156,0.5833333333333334
131,150,2426,19.5
5,50,2293,1.0
45,195,2263,4.0
5,20,3251,1.0
15,95,2399,1.0
34,125,2253,2.0
22,0,2066,2.0
80,200,2489,6.5
21,100,2261,5.0
44,20,2642,2.5
20,20,2176,2.0
5,0,2961,0.5166666666666666
29,75,2691,3.0
8,40,2210,1.0
38,0,2337,1.0
14,20,2702,0.65
154,195,3069,26.0
18,25,2265,5.0
14,20,2265,1.5
37,20,2480,1.5
68,40,1935,8.5
16,30,3091,2.0
13,100,1938,3.5
42,30,3238,4.0
90,50,2741,16.0
12,20,2492,1.0
24,50,2444,0.7
25,145,2153,3.5
101,50,3804,8.0
56,95,2789,6.0
94,20,2725,8.0
24,20,2878,2.0
18,195,2351,1.0
32,20,3416,2.0
13,20,3109,1.0
44,20,2622,5.5
23,50,2589,1.5
64,95,2771,3.5
11,20,2315,0.6
19,20,2638,1.0
46,40,3287,12.0
45,35,2078,3.0
60,100,2671,6.0
27,40,2224,2.0
179,35,2449,17.5
13,20,2020,3.0
27,195,3191,4.0
42,35,3307,3.5
39,50,3098,5.5
29,200,2682,2.0
31,50,3089,3.5
57,50,2375,7.0
27,50,2636,2.5
7,20,2504,0.6833333333333333
6,0,2005,1.0
12,20,2418,2.0
25,200,2105,1.0
28,20,2327,1.0
12,20,2959,1.5
19,30,2903,1.0
16,35,2385,1.0
16,0,2399,1.5
17,50,3079,3.0
6,60,1979,0.7
36,20,2001,4.5
30,120,2593,1.5
31,100,2585,1.5
50,50,3258,3.0
12,0,1998,1.5
11,20,2413,0.5
8,20,2747,1.0
7,25,2420,0.6166666666666667
15,20,2070,1.0
11,20,2039,1.0
27,50,3089,8.5
32,195,2431,2.0
41,30,3742,2.5
15,20,1958,1.0
20,200,2207,1.5
28,20,3237,1.5
28,60,2434,5.5
12,100,1944,2.5
11,40,2899,2.5
6,60,1993,0.6666666666666666
39,200,2034,2.5
17,0,2424,1.5
22,25,3316,3.0
157,100,2176,12.5
26,95,2537,3.5
9,20,1977,1.0
40,50,2419,4.5
8,0,1963,0.65
6,80,2425,0.7
105,150,2132,5.5
29,95,2180,1.5
27,20,2845,2.0
35,200,2708,5.0
24,100,2169,1.0
7,125,2053,0.6333333333333333
43,20,2570,2.5
26,0,3294,3.5
7,0,2610,0.6
32,200,2264,3.0
10,75,2502,1.0
25,0,2008,3.5
22,20,2055,1.5
73,100,3236,9.0
49,50,2079,3.0
23,40,2329,5.5
10,20,3113,1.0
23,40,2319,1.5
212,195,2084,37.5
42,35,2705,2.0
23,200,2680,2.0
38,20,2600,3.5
10,20,3835,0.6
16,40,2519,1.5
104,50,2734,5.0
45,50,2390,3.5
13,0,2551,1.0
24,60,2214,1.5
37,50,2417,3.5
32,50,2271,2.0
38,140,2056,3.0
59,50,2531,2.5
22,50,2390,2.0
22,20,2624,1.5
55,20,2246,10.0
9,20,2008,0.5333333333333333
9,50,2966,0.6833333333333333
9,0,2146,1.0
26,200,2069,1.5
12,100,1944,1.5
38,20,2061,4.0
12,20,2743,0.65
132,100,2420,16.0
15,150,2164,0.65
32,20,2490,3.0
46,200,2096,3.5
21,200,2131,1.5
72,195,2464,5.0
25,20,2830,2.0
16,200,2543,1.5
137,110,2232,7.0
10,50,2243,0.5666666666666667
11,0,2374,1.0
21,100,2322,2.0
24,200,1958,4.0
5,200,2566,0.5333333333333333
89,50,2747,6.0
12,25,2103,1.0
6,130,2053,0.5333333333333333
98,150,2615,19.5
74,55,2384,5.0
14,40,1979,1.0
20,100,2974,1.0
50,195,2134,6.5
22,50,3270,1.0
53,50,3152,5.0
20,120,2364,2.0
19,25,2681,1.5
12,50,3381,1.0
211,25,2382,20.5
12,0,2536,1.5
28,35,2006,2.0
21,50,3079,3.5
16,60,2182,1.0
12,50,2039,1.5
66,195,2890,9.0
45,50,2057,6.0
124,200,3476,22.0
14,75,2185,1.5
8,20,2361,1.0
5,20,3127,1.0
20,0,2754,1.0
19,95,2188,1.0
44,100,2005,2.0
76,150,2157,5.5
22,0,2104,2.5
6,160,2482,1.0
43,20,2659,4.0
47,165,2032,5.5
30,50,2397,1.5
19,0,2154,2.0
11,20,3170,1.5
20,20,2736,1.0
11,45,2444,2.0
25,100,2245,2.5
86,90,2707,6.5
54,200,1958,3.0
11,20,2310,1.5
55,175,2750,7.0
6,20,2067,1.5
17,25,2798,1.0
49,100,2523,5.0
17,0,2433,1.0
14,40,2640,1.0
8,65,2225,1.5
136,50,3346,12.0
15,20,2203,0.6333333333333333
19,20,2694,3.0
7,20,2013,0.5833333333333334
64,150,2283,6.5
25,40,2810,2.0
9,20,2474,2.0
24,35,2628,1.5
70,195,2544,7.5
5,0,2432,1.0
6,0,1972,1.0
24,30,2192,2.0
81,195,2343,5.0
19,100,1944,3.0
134,150,2823,12.0
7,0,2498,0.6
20,50,3079,3.0
42,25,3314,3.0
13,0,1945,0.65
26,145,2561,1.5
41,30,2187,4.0
13,20,2721,2.0
20,95,2211,2.0
13,20,2765,1.5
8,20,2414,1.5
13,40,1972,1.0
111,150,2365,8.5
5,25,2840,0.5333333333333333
19,20,2865,1.5
33,35,2467,1.0
57,195,2133,17.0
56,200,2802,5.5
20,80,2187,1.0
43,50,2751,5.5
14,20,1992,0.6166666666666667
77,60,2483,5.5
29,20,2014,4.5
162,60,2386,18.5
31,95,2635,1.5
13,100,2523,1.5
73,200,2001,7.0
43,75,2070,1.0
10,20,2627,1.0
25,20,2865,1.5
10,25,2210,0.6
62,50,2588,3.0
13,50,2431,2.0
23,50,2148,1.0
62,50,3981,4.5
43,200,2581,4.5
37,40,2889,1.0
27,40,2757,1.0
80,50,2305,12.0
35,200,2124,2.5
7,20,2590,1.0
35,50,2400,5.0
33,75,3278,5.0
21,200,2192,2.0
25,50,3278,2.0
25,95,1979,2.0
56,120,2196,8.5
7,45,2333,1.0
78,20,2809,6.0
12,20,3020,1.5
97,100,2598,11.0
27,75,2475,5.5
